Month,Calories
Jan 2019,1094
Feb 2019,1725
March 2019,445
May 2019,985
June 2019,342
July 2019,818
Oct 2019,332
Nov 2019,457
Jan 2020,978
March 2020,4017
April 2020,8817
May 2020,8871
June 2020,9207
July 2020,8268
August 2020,7559
Sept 2020,5679
Oct 2020,4692
Nov 2020,6720
Dec 2020,15557
Jan 2021,13457
