Month,Output
2019-01,434
2019-02,762
2019-03,221
2019-05,401
2019-06,181
2019-07,476
2019-10,145
2019-11,252
2020-01,411
2020-03,2103
2020-04,4405
2020-05,4288
2020-06,5144
2020-07,4796
2020-08,4727
2020-09,3640
2020-10,3055
2020-11,3567
2020-12,6768
2021-01,6085
