Date,Distance
Jan 2019,23.66
Feb 2019,38.33
March 2019,10.97
May 2019,20.55
June 2019,8.02
July 2019,22.06
Oct 2019,7.31
Nov 2019,11.69
Jan 2020,21.09
March 2020,95.9
April 2020,205.95
May 2020,205.42
June 2020,224.4
July 2020,193.93
August 2020,196.84
Sept 2020,142.54
Oct 2020,120.62
Nov 2020,139.93
Dec 2020,294.39
Jan 2021,267.37
